Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200
2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600
2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700
2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400
2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800
2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,15029300
2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300
2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700
2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300
2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,26229400
2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,21777700
2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,30901200
2014-10-04,359.891998,364.487,325.885986,328.865997,328.865997,47236500
2014-10-05,328.915985,341.800995,289.29599,320.51001,320.51001,83308096
2014-10-06,320.389008,345.134003,302.559998,330.07901,330.07901,79011800
2014-10-07,330.584015,339.247009,320.481995,336.187012,336.187012,49199900
2014-10-08,336.115997,354.364014,327.187988,352.940002,352.940002,54736300
2014-10-09,352.747986,382.726013,347.687012,365.026001,365.026001,83641104
2014-10-10,364.687012,375.066986,352.963013,361.562012,361.562012,43665700
2014-10-11,361.362,367.19101,355.950989,362.299011,362.299011,13345200
2014-10-12,362.605988,379.433014,356.144012,378.549011,378.549011,17552800
2014-10-13,377.92099,397.226013,368.897003,390.414001,390.414001,35221400
2014-10-14,391.691986,411.697998,391.324005,400.869995,400.869995,38491500
2014-10-15,400.954987,402.22699,388.765991,394.77301,394.77301,25267100
2014-10-16,394.518005,398.807007,373.070007,382.556,382.556,26990000
2014-10-17,382.756012,385.477997,375.389008,383.757996,383.757996,13600700
2014-10-18,383.976013,395.15799,378.971008,391.441986,391.441986,11416800
2014-10-19,391.253998,393.938995,386.457001,389.54599,389.54599,5914570
2014-10-20,389.230988,390.084015,378.252014,382.845001,382.845001,16419000
2014-10-21,382.42099,392.645996,380.834015,386.475006,386.475006,14188900
2014-10-22,386.118011,388.575989,382.248993,383.15799,383.15799,11641300
2014-10-23,382.962006,385.048004,356.446991,358.416992,358.416992,26456900
2014-10-24,358.591003,364.345001,353.304993,358.345001,358.345001,15585700
2014-10-25,358.610992,359.860992,342.877014,347.270996,347.270996,18127500
2014-10-26,347.487,359.221008,343.931,354.70401,354.70401,11272500
2014-10-27,354.777008,358.631989,349.80899,352.989014,352.989014,13033000
2014-10-28,353.214996,359.984009,352.678986,357.618011,357.618011,7845880
2014-10-29,357.088989,357.833008,335.342987,335.591003,335.591003,18192700
2014-10-30,335.709015,350.912994,335.071991,345.304993,345.304993,30177900
2014-10-31,345.009003,348.045013,337.141998,338.321014,338.321014,12545400
2014-11-01,338.649994,340.528992,321.054993,325.748993,325.748993,16677200
2014-11-02,326.075012,329.049988,320.626007,325.891998,325.891998,8603620
2014-11-03,325.569,334.002014,325.480988,327.553986,327.553986,12948500
2014-11-04,327.161011,331.766998,325.076996,330.492004,330.492004,15655500
2014-11-05,330.683014,343.368988,330.683014,339.485992,339.485992,19817200
2014-11-06,339.458008,352.966003,338.424011,349.290009,349.290009,18797000
2014-11-07,349.817993,352.731995,341.776001,342.415009,342.415009,16834200
2014-11-08,342.153992,347.032013,342.153992,345.488007,345.488007,8535470
2014-11-09,345.376007,363.626007,344.255005,363.264008,363.264008,24205600
2014-11-10,362.265015,374.81601,357.561005,366.924011,366.924011,30450100
2014-11-11,365.856995,371.309998,363.734985,367.695007,367.695007,15838900
2014-11-12,367.984985,429.717987,367.984985,423.561005,423.561005,45783200
2014-11-13,427.27301,457.092987,401.122986,420.734985,420.734985,58945000
2014-11-14,418.416992,419.252014,384.789001,397.817993,397.817993,29589200
2014-11-15,399.649994,405.528015,371.007996,376.132996,376.132996,15727500
2014-11-16,374.730011,390.799011,374.60199,387.881989,387.881989,11905600
2014-11-17,388.348999,410.199005,377.502014,387.40799,387.40799,41518800
2014-11-18,387.785004,392.402008,371.117004,375.197998,375.197998,32222500
2014-11-19,373.895996,386.480988,373.895996,380.554993,380.554993,18931800
2014-11-20,380.307007,382.024994,356.781006,357.839996,357.839996,25233200
2014-11-21,357.878998,357.878998,344.112,350.847992,350.847992,29850100
2014-11-22,351.604004,364.841003,350.877991,352.920013,352.920013,15273000
2014-11-23,353.174988,370.845001,353.174988,367.572998,367.572998,15151600
2014-11-24,366.947998,387.209015,366.669006,376.901001,376.901001,30930100
2014-11-25,376.885986,394.700989,374.783997,375.347992,375.347992,25442200
2014-11-26,376.019012,377.697998,365.81601,368.369995,368.369995,18601700
2014-11-27,370.502014,373.992004,368.282013,369.670013,369.670013,8748030
2014-11-28,369.373993,382.838013,358.454987,376.446991,376.446991,22946500
2014-11-29,376.152008,387.601013,372.144989,375.490997,375.490997,15375600
2014-11-30,375.51001,382.527008,373.30899,378.046997,378.046997,9194440
2014-12-01,378.248993,383.661987,376.669006,379.244995,379.244995,11763000
2014-12-02,379.25,384.037994,377.863007,381.315002,381.315002,12364100
2014-12-03,381.721985,383.026001,374.346008,375.01001,375.01001,13340100
2014-12-04,375.717987,378.654999,367.759003,369.604004,369.604004,14529600
2014-12-05,369.441986,379.191986,365.756012,376.854004,376.854004,15181800
2014-12-06,376.756989,378.447998,370.945007,374.785004,374.785004,7009320
2014-12-07,374.835999,376.291992,373.274994,375.095001,375.095001,6491650
2014-12-08,374.964996,376.028992,361.885986,361.908997,361.908997,18898700
2014-12-09,361.894989,363.066986,344.950989,352.218994,352.218994,32915500
2014-12-10,352.204987,352.384003,346.36499,346.36499,346.36499,16427700
2014-12-11,344.339996,361.356995,338.763,350.506012,350.506012,32431300
2014-12-12,350.833008,352.983002,349.290985,352.541992,352.541992,16989800
2014-12-13,352.381012,352.381012,346.588013,347.376007,347.376007,11675900
2014-12-14,346.72699,353.31601,345.417999,351.631989,351.631989,12415200
2014-12-15,351.360992,351.815002,344.93399,345.345001,345.345001,17264200
